eco+res_name,radeg,dedeg,agn_name,agn_ra,agn_dec,separation
rf0127,17.747235999999994,0.4337019,J011059.31+002601.1,17.747137,0.43365139,0.4000975054383476
rf0377,38.465215,1.1371926,J023351.63+010813.8,38.465123,1.1371587,0.35290791526828724
ECO11902,147.638,44.3143,J095033.16+441851.8,147.63815,44.314381,0.4840659135332236
ECO07102,150.53,3.0578,J100207.04+030327.7,150.52933,3.0576861,2.4432197922992707
ECO11313,165.639,-0.29100000000000004,J110233.29-001727.6,165.6387,-0.29101036,1.0806298641227934
ECO03048,176.37599999999995,9.7292,J114530.26+094344.8,176.37607,9.7291005,0.4358872545646477
ECO05773,178.19299999999996,23.476,J115246.30+232833.7,178.1929,23.476028,0.3452445477562302
ECO05818,180.535,17.6902,J120208.36+174124.9,180.53485,17.690251,0.5462448193534593
ECO05990,186.547,7.667000000000002,J122611.22+074000.9,186.54674,7.6669251,0.9660267401752102
ECO03679,190.381,26.0428,J124131.47+260233.6,190.38112,26.042664,0.624787178994516
ECO07651,201.118,4.7749,J132428.24+044629.6,201.11768,4.7748895,1.148624049218815
ECO04145,203.02,17.0489,J133204.82+170256.3,203.02007,17.048967,0.34091446790880764
